kebiasaan_bermain_game,prioritas_antara_belajar_dan_bermain_game,pengaruh_game_pada_daya_ingat_dan_penalaran
9.934,3.21,13.811
9.934,4.826,19.438
8.428,4.826,15.712
8.428,4.826,17.328
10.198,6.036,19.996
11.058,6.036,20.206
5.946,2,15.601
9.074,6.036,20.217
8.428,3.21,15.062
6.953,4.826,18.318
8.428,4.826,15.601
5.006,3.21,18.064
10.892,4.826,20.782
7.568,4.826,11.215
7.002,3.616,15.723
7.568,4.826,15.601
8.771,4.826,17.654
4,2,12.997
4,3.616,23.499
8.428,4.826,17.279
10.892,4.826,16.714
8.692,2,12.245
4,3.21,16.6
5.877,3.616,21.884
11.752,4.826,17.667
12.622,4.826,14.569
10.198,6.036,21.895
6.512,4.826,17.939
5.946,6.036,13.393
5.006,3.21,17.544
11.752,4.826,17.205
11.752,4.826,14.822
12.622,6.036,15.162
6.512,6.036,12.337
7.002,3.21,10.713
4,2,11.22
8.459,6.036,14.13
6.746,4.826,16.938
9.202,4.826,9.604
9.201,6.036,12.933
5.124,2,23.499
5.946,2,20.906
7.765,6.036,8.801
5.124,2,20.458
7.452,6.036,15.995
6.688,2,23.499
13.893,4.826,12.933
13.023,6.036,9.793
9.112,2,17.204
8.077,4.826,23.499
11.752,4.421,17.556
9.817,2,15.273
7.352,6.036,13.442
8.502,4.421,12.494
5.819,2,10.165
9.983,3.21,16.393
7.002,2,15.347
8.502,4.421,18.436
7.886,4.421,23.499
9.123,2,8
6.377,3.21,18.401
4,6.036,14.944
6.63,6.036,14.944
4,2,12.933
8.871,2,22.711
5.006,4.826,14.778
6.953,6.036,15.712
5.124,4.826,15.976
6.953,3.21,16.125
9.73,3.616,16.153
11.147,4.826,14.447
9.73,3.21,14.895
8.077,6.036,13.811
5.506,4.826,17.15
7.765,3.616,17.667
7.568,3.616,18.69